1,1,SEMINAR,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,CbsPRjo444,Ali bin Ahmad,abc,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,3c5nUCB2xr,Ali bin Ahmad,abc,2
1,1,SPORTS EVENT,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,ppvXRr0bS5,Ali bin Ahmad,abc,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,8jf6FIX48R,Ali bin Ahmad,abc,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,KyBSlfaxYN,Ali bin Ahmad,abc,2
1,1,CULTURAL EVENT,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,2klIV61UOp,Ali bin Ahmad,abc,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,DqGxd2bwIj,Ali bin Ahmad,abc,2
1,1,SPORTS EVENT,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,wUecyW4Hd7,Ali bin Ahmad,abc,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,CbsPRjo444,Ali bin Ahmad,abc,2
1,1,SPORTS EVENT,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,3c5nUCB2xr,Ali bin Ahmad,abc,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,ppvXRr0bS5,Ali bin Ahmad,abc,2
1,1,SEMINAR,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,8jf6FIX48R,Ali bin Ahmad,abc,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,KyBSlfaxYN,Ali bin Ahmad,abc,2
1,1,CULTURAL EVENT,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,2klIV61UOp,Ali bin Ahmad,abc,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,DqGxd2bwIj,Ali bin Ahmad,abc,2
1,1,SEMINAR,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,wUecyW4Hd7,Ali bin Ahmad,abc,2
