1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,j6lj0EEfM9,Ali bin Ahmad,0123456789,2
1,1,SEMINAR,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,QSnkUthLoH,Ali bin Ahmad,0123456789,2
1,1,SPORTS EVENT,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,OH2NtV7upt,Ali bin Ahmad,0123456789,2
1,1,CULTURAL EVENT,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,ORnuTHp7eA,Ali bin Ahmad,0123456789,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,j6lj0EEfM9,Ali bin Ahmad,0123456789,2
1,1,SEMINAR,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,QSnkUthLoH,Ali bin Ahmad,0123456789,2
1,1,SPORTS EVENT,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,OH2NtV7upt,Ali bin Ahmad,0123456789,2
1,1,CULTURAL EVENT,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,ORnuTHp7eA,Ali bin Ahmad,0123456789,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,j6lj0EEfM9,Ali bin Ahmad,0123456789,2
1,1,SEMINAR,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,QSnkUthLoH,Ali bin Ahmad,0123456789,2
1,1,SPORTS EVENT,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,OH2NtV7upt,Ali bin Ahmad,0123456789,2
1,1,CULTURAL EVENT,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,ORnuTHp7eA,Ali bin Ahmad,0123456789,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,j6lj0EEfM9,Ali bin Ahmad,0123456789,2
1,1,SEMINAR,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,QSnkUthLoH,Ali bin Ahmad,0123456789,2
1,1,SPORTS EVENT,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,OH2NtV7upt,Ali bin Ahmad,0123456789,2
1,1,CULTURAL EVENT,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,ORnuTHp7eA,Ali bin Ahmad,0123456789,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,wIC3Vd8p2l,Ali bin Ahmad,0123456789,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,ASVL8sunkA,Ali bin Ahmad,0123456789,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,FhkAwxCHvs,Ali bin Ahmad,0123456789,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,y6iQeedbA6,Ali bin Ahmad,0123456789,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,IHtL3pG5kl,Ali bin Ahmad,0123456789,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,bcXDFRvsQA,Ali bin Ahmad,0123456789,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,3ZZlAPKniP,Ali bin Ahmad,0123456789,2
1,1,WORKSHOP,OOAD Workshop,12 June 2025,13:00-14:00,FCI Study Space,pYQZronpbU,Ali bin Ahmad,0123456789,2
